factor,headline_per_10pct,rel_chg_at_plus10,rel_chg_at_minus10,rel_chg_at_plus100,rel_chg_at_minus100,sign_share_plus10,ci95_lo,ci95_hi,note
vacc_speed,-0.0008601478222340635,-0.0008601478222340635,0.0022525231094444884,-0.006765206906454862,0.017764926464930945,0.350104821802935,-0.0011683799607763053,-0.0005767615042813848,
vacc_coverage,-0.0007994561442435354,-0.0007994561442435354,0.0007999859854485714,-0.008920813875924714,0.017870639856415384,0.3480083857442348,-0.001055162119798799,-0.0005327707144523447,
stringency,-0.00024609702093584,-0.00024609702093584,0.000211096757404013,-0.002258550629331856,0.001817093387383798,0.4444444444444444,-0.00034337045756864,-0.00014956168169708326,
cases,-5.880863142720105e-05,-5.880863142720105e-05,6.873972275301769e-05,-0.0003430933305557762,-0.008157023557130286,0.4528301886792453,-9.184743492017442e-05,-2.6501172202240774e-05,
reproduction_rate,0.00031626585926522666,0.00031626585926522666,-0.00032163631781553825,0.002072479898053922,-0.0029070591625802397,0.6289308176100629,0.000224897798878968,0.0004068664477216032,"传播率Rt为领先病例水平2-3周的估计值 (OWID reproduction_rate; Arroyo-Marioli et al. 2021, TrackingR/Kalman滤波)"
deaths,0.0006508285613031988,0.0006508285613031988,-0.0007341954428679593,0.004550871757589243,-0.054788568546668796,0.6876310272536688,0.0005339261608928287,0.0007685893736846293,
