factor,headline_per_10pct,rel_chg_at_plus10,rel_chg_at_minus10,rel_chg_at_plus100,rel_chg_at_minus100,sign_share_plus10,ci95_lo,ci95_hi,note
vacc_coverage,-0.0006881147273816168,-0.0006881147273816168,0.0007055182941257954,-0.006861822679638863,0.020221110433340073,0.40041928721174,-0.0009729396799230017,-0.00039782681269571205,
vacc_speed,-0.0005197526188567281,-0.0005197526188567281,0.0020732260309159756,-0.0022103015799075365,0.03001544252038002,0.4360587002096436,-0.0008515461886418052,-0.00022205271743587227,
stringency,-0.00016711978241801262,-0.00016711978241801262,0.00012981341569684446,-0.001460488885641098,0.0010430373949930072,0.46540880503144655,-0.00027023752554669047,-5.996279496685021e-05,
cases,-4.414201248437166e-05,-4.414201248437166e-05,5.482463166117668e-05,-0.00018557868315838277,-0.007634440902620554,0.47379454926624737,-8.014859304239508e-05,-7.058059100018026e-06,
reproduction_rate,0.0006022086599841714,0.0006022086599841714,-0.0005937730893492699,0.005566940642893314,-0.0051680575124919415,0.6771488469601677,0.0004832820690353401,0.0007135795603971927,"传播率Rt为领先病例水平2-3周的估计值 (OWID reproduction_rate; Arroyo-Marioli et al. 2021, TrackingR/Kalman滤波)"
deaths,0.0006197250913828611,0.0006197250913828611,-0.0007008353713899851,0.004400698002427816,-0.06460344046354294,0.610062893081761,0.00047853253345238046,0.0007588703432702459,
